City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Isangel,VU,-19.55,169.2667,82.51,78,75,6.91,light rain
291,Bambous Virieux,MU,-20.3428,57.7575,86.25,62,20,3.44,few clouds
292,Lavrentiya,RU,65.5833,-171.0,2.3,94,100,11.21,overcast clouds
293,Sorong,ID,-0.8833,131.25,85.15,70,24,6.06,few clouds
294,Goalpara,IN,26.1667,90.6167,71.04,47,0,4.34,clear sky
295,Hamilton,US,39.1834,-84.5333,37.76,85,90,1.99,overcast clouds
296,Linhares,BR,-19.3911,-40.0722,70.79,98,99,5.14,overcast clouds
297,Juybar,IR,36.6412,52.9124,51.96,66,23,1.83,few clouds
298,Rawson,AR,-43.3002,-65.1023,62.74,81,11,2.8,few clouds
299,Broken Hill,AU,-31.95,141.4333,94.86,16,66,24.02,broken clouds
300,Fernley,US,39.608,-119.2518,33.4,69,68,2.77,broken clouds
301,Kiama,AU,-34.6833,150.8667,84.0,49,100,5.99,overcast clouds
302,Aklavik,CA,68.2191,-135.0107,-6.77,100,99,4.54,overcast clouds
303,Si Satchanalai,TH,17.5169,99.7598,78.58,56,81,3.04,broken clouds
304,Barcelona,ES,41.3888,2.159,49.53,77,20,3.0,few clouds
305,Killybegs,IE,54.6333,-8.45,42.46,91,11,5.64,few clouds
306,Turayf,SA,31.6725,38.6637,35.85,93,40,4.61,scattered clouds
307,Mbandaka,CD,0.0487,18.2603,71.17,95,99,3.38,light rain
308,San Lawrenz,MT,36.0553,14.204,49.86,55,7,1.99,clear sky
309,Catamarca,AR,-28.4696,-65.7852,76.59,46,20,13.0,few clouds
310,Romny,UA,50.751,33.4747,30.99,96,100,19.08,light snow
311,Calvinia,ZA,-31.4707,19.776,67.82,60,0,11.5,clear sky
312,Poum,NC,-20.2333,164.0167,79.66,70,33,6.8,scattered clouds
313,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.59,80,73,8.28,broken clouds
314,Avera,US,33.194,-82.5271,64.71,98,100,6.87,overcast clouds
315,Pevek,RU,69.7008,170.3133,-14.78,92,100,2.73,overcast clouds
316,Khuzdar,PK,27.7384,66.6434,58.8,11,60,1.97,broken clouds
317,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,74.68,96,100,2.82,overcast clouds
318,Tuatapere,NZ,-46.1333,167.6833,66.81,65,42,12.26,light rain
319,Kuusankoski,FI,60.907,26.6244,34.32,97,90,5.01,light shower snow
320,Sahuaripa,MX,29.05,-109.2333,55.58,49,15,4.61,few clouds
321,Sabang,ID,5.8933,95.3214,78.35,84,100,20.07,overcast clouds
322,Canutama,BR,-6.5339,-64.3831,74.64,98,98,2.17,moderate rain
323,Baruun-Urt,MN,46.6806,113.2792,14.41,77,17,11.88,few clouds
324,Iranshahr,IR,27.2025,60.6848,62.94,42,0,4.61,clear sky
325,Vao,NC,-22.6667,167.4833,75.81,89,72,20.51,light rain
326,Luzhou,CN,28.8724,105.4405,54.43,54,83,1.1,broken clouds
327,Luba,GQ,3.4568,8.5547,80.28,80,40,1.5,scattered clouds
328,Broome,US,42.2506,-75.833,40.19,79,90,8.99,overcast clouds
329,Gravdal,NO,68.1214,13.5031,40.5,79,50,26.44,scattered clouds
330,Serenje,ZM,-13.2325,30.2352,63.36,91,98,5.68,overcast clouds
331,San Pedro,PH,14.35,121.0167,78.35,92,100,9.86,overcast clouds
